Weight in kg	Height	HeightClass	Player	Team	WeightClass	Year
108,8621688	200,66	198	Joe Johnson	Atlanta Hawks	105	2008
106,59420695	208,28	207	Rashard Lewis	Orlando Magic	105	2008
86,1825503	182,88	180	Jameer Nelson	Orlando Magic	85	2008
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2008
92,98643585	195,58	195	Ray Allen	Boston Celtics	90	2008
89,81128926	185,42	183	Mo Williams	Cleveland Cavaliers	85	2008
120,65557042	205,74	204	Carlos Boozer	Utah Jazz	120	2007
80,73944186	190,5	189	Steve Nash	Phoenix Suns	80	2007
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2007
79,37866475	182,88	180	Chris Paul	New Orleans Hornets	75	2007
95,70799007	198,12	198	Brandon Roy	Portland Trail Blazers	95	2007
111,13013065	208,28	207	Amar'e Stoudemire	Phoenix Suns	110	2007
113,3980925	205,74	204	David West	New Orleans Hornets	110	2007
74,84274105	182,88	180	Allen Iverson	Denver Nuggets	70	2007
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2007
108,8621688	203,2	201	Carmelo Anthony	Denver Nuggets	105	2007
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2007
140,6136347	228,6	228	Yao Ming	Houston Rockets	140	2007
95,2543977	193,04	192	Jason Kidd	New Jersey Nets	95	2007
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2007
113,3980925	203,2	201	LeBron James	Cleveland Cavaliers	110	2007
108,8621688	210,82	210	Kevin Garnett	Boston Celtics	105	2007
120,20197805	210,82	210	Dwight Howard	Orlando Magic	120	2007
95,2543977	190,5	189	Chauncey Billups	Detroit Pistons	95	2007
106,59420695	210,82	210	Chris Bosh	Toronto Raptors	105	2007
103,41906036	200,66	198	Caron Butler	Washington Wizards	100	2007
87,54332741	200,66	198	Richard Hamilton	Detroit Pistons	85	2007
106,59420695	205,74	204	Antawn Jamison	Washington Wizards	105	2007
108,8621688	200,66	198	Joe Johnson	Atlanta Hawks	105	2007
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2007
92,98643585	195,58	195	Ray Allen	Boston Celtics	90	2007
104,3262451	210,82	210	Rasheed Wallace	Detroit Pistons	100	2007
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2006
95,2543977	203,2	201	Tracy McGrady	Houston Rockets	95	2006
108,8621688	210,82	210	Kevin Garnett	Minnesota Timberwolves	105	2006
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2006
140,6136347	228,6	228	Yao Ming	Houston Rockets	140	2006
80,73944186	190,5	189	Steve Nash	Phoenix Suns	80	2006
111,13013065	208,28	207	Amar'e Stoudemire	Phoenix Suns	110	2006
120,65557042	205,74	204	Carlos Boozer	Utah Jazz	120	2006
83,91458845	187,96	186	Tony Parker	San Antonio Spurs	80	2006
74,84274105	182,88	180	Allen Iverson	Denver Nuggets	70	2006
103,41906036	200,66	198	Shawn Marion	Phoenix Suns	100	2006
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2006
92,98643585	195,58	195	Ray Allen	Seattle SuperSonics	90	2006
108,8621688	203,2	201	Carmelo Anthony	Denver Nuggets	105	2006
95,2543977	200,66	198	Josh Howard	Dallas Mavericks	95	2006
112,94450013	210,82	210	Mehmet Okur	Utah Jazz	110	2006
86,63614267	190,5	189	Gilbert Arenas	Washington Wizards	85	2006
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2006
113,3980925	203,2	201	LeBron James	Cleveland Cavaliers	110	2006
106,59420695	210,82	210	Chris Bosh	Toronto Raptors	105	2006
147,41752025	215,9	213	Shaquille O'Neal	Miami Heat	145	2006
95,2543977	190,5	189	Chauncey Billups	Detroit Pistons	95	2006
103,41906036	200,66	198	Caron Butler	Washington Wizards	100	2006
99,7903214	198,12	198	Vince Carter	New Jersey Nets	95	2006
87,54332741	200,66	198	Richard Hamilton	Detroit Pistons	85	2006
120,20197805	210,82	210	Dwight Howard	Orlando Magic	120	2006
95,2543977	193,04	192	Jason Kidd	New Jersey Nets	95	2006
106,59420695	210,82	210	Jermaine O'Neal	Indiana Pacers	105	2006
108,8621688	200,66	198	Joe Johnson	Atlanta Hawks	105	2006
80,73944186	190,5	189	Steve Nash	Phoenix Suns	80	2005
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2005
95,2543977	203,2	201	Tracy McGrady	Houston Rockets	95	2005
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2005
140,6136347	228,6	228	Yao Ming	Houston Rockets	140	2005
92,98643585	195,58	195	Ray Allen	Seattle SuperSonics	90	2005
115,21246198	205,74	204	Elton Brand	Los Angeles Clippers	115	2005
108,8621688	210,82	210	Kevin Garnett	Minnesota Timberwolves	105	2005
113,3980925	213,36	213	Pau Gasol	Memphis Grizzlies	110	2005
103,41906036	200,66	198	Shawn Marion	Phoenix Suns	100	2005
111,13013065	213,36	213	Dirk Nowitzki	Dallas Mavericks	110	2005
83,91458845	187,96	186	Tony Parker	San Antonio Spurs	80	2005
74,84274105	182,88	180	Allen Iverson	Philadelphia Sixers	70	2005
99,7903214	193,04	192	Dwyane Wade	Miami Heat	95	2005
113,3980925	203,2	201	LeBron James	Cleveland Cavaliers	110	2005
147,41752025	215,9	213	Shaquille O'Neal	Miami Heat	145	2005
106,59420695	210,82	210	Jermaine O'Neal	Indiana Pacers	105	2005
95,2543977	190,5	189	Chauncey Billups	Detroit Pistons	95	2005
106,59420695	210,82	210	Chris Bosh	Toronto Raptors	105	2005
99,7903214	198,12	198	Vince Carter	New Jersey Nets	95	2005
87,54332741	200,66	198	Richard Hamilton	Detroit Pistons	85	2005
106,59420695	200,66	198	Paul Pierce	Boston Celtics	105	2005
108,8621688	205,74	204	Ben Wallace	Detroit Pistons	105	2005
104,3262451	210,82	210	Rasheed Wallace	Detroit Pistons	100	2005
86,63614267	190,5	189	Gilbert Arenas	Washington Wizards	85	2005
96,16158244	198,12	198	Kobe Bryant	Los Angeles Lakers	95	2004
95,2543977	203,2	201	Tracy McGrady	Houston Rockets	95	2004
108,8621688	210,82	210	Kevin Garnett	Minnesota Timberwolves	105	2004
113,3980925	210,82	210	Tim Duncan	San Antonio Spurs	110	2004
140,6136347	228,6	228	Yao Ming	Houston Rockets	140	2004
92,98643585	198,12	198	Manu Ginobili	San Antonio Spurs	90	2004
111,13013065	208,28	207	Amar'e Stoudemire	Phoenix Suns	110	2004
92,98643585	195,58	195	Ray Allen	Seattle SuperSonics	90	2004
103,41906036	200,66	198	Shawn Marion	Phoenix Suns	100	2004
